OrderID,City,Zone,Timestamp,TimeBlock,DemandIndex,FuelPrice,TrafficIndex,Distance_km,Price,Cost,Profit,PredictedPrice,PredictedProfit
BANG006,Bangalore,East,27-08-2025 12:31,Afternoon,46,106.6,0.73,13.05,202.86,183.8,19.06,202.93,18.99
BANG007,Bangalore,West,28-08-2025 05:55,Night,74,106.8,0.91,13.66,207.57,190.0,17.57,207.62,17.62
BANG008,Bangalore,Central,29-08-2025 14:53,Afternoon,50,106.8,0.51,11.72,193.54,170.6,22.94,193.52,22.85
BANG009,Bangalore,North,28-08-2025 15:47,Afternoon,87,106.74,0.96,7.4,139.74,127.37,12.37,139.84,12.43
BANG010,Bangalore,North,28-08-2025 17:52,Afternoon,49,106.54,0.68,11.91,189.79,172.37,17.42,189.73,17.44
BANG011,Bangalore,Central,27-08-2025 22:20,Night,49,106.67,0.97,14.05,211.82,193.84,17.98,211.91,17.92
BANG012,Bangalore,South,28-08-2025 06:21,Morning,52,106.64,0.73,3.61,102.24,89.42,12.82,102.23,12.9
BANG013,Bangalore,East,27-08-2025 02:16,Night,74,106.55,0.99,14.44,204.42,197.68,6.74,204.41,6.72
BANG014,Bangalore,North,27-08-2025 13:53,Afternoon,81,106.59,0.7,14.2,201.78,195.3,6.48,201.7,6.46
BANG015,Bangalore,North,29-08-2025 15:46,Afternoon,73,106.63,0.6,11.13,176.96,164.62,12.34,176.97,12.25
BANG016,Bangalore,South,28-08-2025 22:32,Night,61,106.59,0.53,4.23,114.05,95.6,18.45,114.01,18.46
BANG017,Bangalore,West,28-08-2025 08:41,Morning,71,106.7,0.58,9.61,157.07,149.45,7.62,157.08,7.59
BANG018,Bangalore,Central,29-08-2025 02:57,Night,83,106.73,0.86,10.17,170.2,155.06,15.14,170.11,15.04
BANG019,Bangalore,West,28-08-2025 02:50,Night,74,106.52,0.8,13.73,212.67,190.56,22.11,212.74,22.14
BANG020,Bangalore,South,28-08-2025 22:52,Night,43,106.56,0.72,6.2,137.05,115.28,21.77,137.13,21.72
BANG021,Bangalore,North,27-08-2025 23:42,Night,40,106.7,0.76,10.7,183.89,160.35,23.54,183.95,23.6
BANG022,Bangalore,West,29-08-2025 10:34,Morning,40,106.64,0.96,4.46,108.27,97.92,10.35,108.35,10.42
BANG023,Bangalore,East,27-08-2025 11:32,Morning,58,106.56,0.93,12.93,204.42,182.58,21.84,204.47,21.82
BANG024,Bangalore,Central,29-08-2025 22:55,Night,85,106.56,0.74,7.57,145.32,128.98,16.34,145.4,16.37
BANG025,Bangalore,West,28-08-2025 07:02,Morning,44,106.63,0.62,8.23,148.63,135.62,13.01,148.62,13.03
BANG026,Bangalore,South,27-08-2025 11:27,Morning,50,106.53,0.85,12.63,191.16,179.56,11.6,191.24,11.59
BANG027,Bangalore,East,27-08-2025 17:25,Afternoon,75,106.71,0.99,11.88,195.81,172.16,23.65,195.89,23.73
BANG028,Bangalore,West,28-08-2025 20:15,Evening,45,106.73,0.76,14.49,222.95,198.26,24.69,222.87,24.65
BANG029,Bangalore,East,28-08-2025 16:22,Afternoon,48,106.79,0.81,8.17,150.18,135.1,15.08,150.25,15.04
BANG030,Bangalore,West,28-08-2025 20:51,Evening,50,106.58,0.61,4.75,111.11,100.79,10.32,111.05,10.38
BANG031,Bangalore,South,27-08-2025 03:16,Night,49,106.67,0.52,9.15,150.47,144.84,5.63,150.56,5.67
BANG032,Bangalore,East,28-08-2025 23:05,Night,87,106.55,0.98,7.44,134.02,127.68,6.34,134.07,6.38
BANG033,Bangalore,South,28-08-2025 00:53,Night,86,106.57,0.69,6.43,125.82,117.58,8.24,125.85,8.27
BANG034,Bangalore,East,29-08-2025 12:39,Afternoon,79,106.72,0.61,3.18,107.75,85.16,22.59,107.75,22.67
BANG035,Bangalore,West,29-08-2025 04:34,Night,66,106.72,0.6,3.3,102.67,86.36,16.31,102.75,16.38
BANG036,Bangalore,North,27-08-2025 08:30,Morning,48,106.76,0.55,3.07,104.3,84.08,20.22,104.37,20.2
BANG037,Bangalore,East,27-08-2025 12:00,Afternoon,78,106.74,0.56,11.32,181.64,166.57,15.07,181.68,14.99
BANG038,Bangalore,North,29-08-2025 02:43,Night,80,106.6,0.58,12.71,190.36,180.4,9.96,190.4,9.96
BANG039,Bangalore,West,27-08-2025 17:47,Afternoon,45,106.77,0.56,13.86,211.06,191.98,19.08,211.11,19.0
BANG040,Bangalore,West,27-08-2025 06:26,Morning,71,106.75,0.57,5.89,125.37,112.28,13.09,125.29,13.18
BANG041,Bangalore,North,29-08-2025 11:27,Morning,81,106.52,0.66,13.05,199.49,183.76,15.73,199.51,15.66
BANG042,Bangalore,North,27-08-2025 23:54,Night,50,106.76,0.62,3.63,100.29,89.68,10.61,100.38,10.61
BANG043,Bangalore,East,28-08-2025 06:47,Morning,64,106.72,0.74,13.3,200.46,186.36,14.1,200.43,14.07
BANG044,Bangalore,West,27-08-2025 17:28,Afternoon,76,106.71,0.51,12.64,197.03,179.76,17.27,197.01,17.25
BANG045,Bangalore,South,27-08-2025 03:05,Night,75,106.53,0.8,10.58,175.75,159.06,16.69,175.77,16.61
BANG046,Bangalore,East,29-08-2025 19:56,Evening,67,106.61,0.56,9.63,156.46,149.61,6.85,156.48,6.84
BANG047,Bangalore,South,27-08-2025 04:59,Night,89,106.58,0.54,13.36,202.16,186.89,15.27,202.24,15.33
BANG048,Bangalore,South,27-08-2025 11:32,Morning,56,106.78,0.97,11.99,180.28,173.29,6.99,180.19,6.98
BANG049,Bangalore,West,27-08-2025 07:42,Morning,88,106.75,0.9,9.17,155.84,145.07,10.77,155.91,10.77
BANG050,Bangalore,West,28-08-2025 11:42,Morning,42,106.51,0.55,14.87,207.6,201.96,5.64,207.61,5.61
BANG051,Bangalore,Central,28-08-2025 06:40,Morning,41,106.58,0.72,8.88,151.89,142.09,9.8,151.9,9.89
BANG052,Bangalore,Central,29-08-2025 02:42,Night,44,106.57,0.67,12.49,198.36,178.18,20.18,198.4,20.12
BANG053,Bangalore,North,29-08-2025 22:51,Night,67,106.72,0.75,14.91,212.47,202.46,10.01,212.46,10.0
BANG054,Bangalore,West,27-08-2025 23:47,Night,62,106.76,0.99,5.34,122.28,106.78,15.5,122.18,15.49
BANG055,Bangalore,South,29-08-2025 03:24,Night,79,106.56,0.76,3.85,98.73,91.78,6.95,98.76,6.87
BANG056,Bangalore,North,27-08-2025 20:06,Evening,58,106.53,0.97,12.15,184.5,174.76,9.74,184.53,9.75
BANG057,Bangalore,North,29-08-2025 05:46,Night,79,106.6,0.86,7.4,142.63,127.3,15.33,142.6,15.34
BANG058,Bangalore,Central,27-08-2025 18:21,Evening,73,106.59,0.75,4.82,113.14,101.5,11.64,113.19,11.64
BANG059,Bangalore,East,27-08-2025 06:42,Morning,60,106.79,0.89,4.36,108.72,97.0,11.72,108.77,11.78
BANG060,Bangalore,South,29-08-2025 07:54,Morning,58,106.55,0.87,5.85,130.42,111.78,18.64,130.44,18.69
BANG061,Bangalore,South,27-08-2025 06:48,Morning,84,106.61,0.75,4.47,121.8,98.0,23.8,121.9,23.72
BANG062,Bangalore,South,29-08-2025 03:14,Night,69,106.71,0.54,11.73,190.22,170.66,19.56,190.25,19.59
BANG063,Bangalore,Central,29-08-2025 17:27,Afternoon,58,106.6,0.71,12.85,201.42,181.8,19.62,201.4,19.69
BANG064,Bangalore,East,28-08-2025 09:11,Morning,44,106.66,0.68,4.66,122.46,99.93,22.53,122.55,22.59
BANG065,Bangalore,North,29-08-2025 13:20,Afternoon,76,106.55,0.57,14.34,203.0,196.68,6.32,202.99,6.24
BANG066,Bangalore,East,28-08-2025 11:08,Morning,54,106.71,0.98,13.27,202.39,186.05,16.34,202.48,16.3
BANG067,Bangalore,East,29-08-2025 11:24,Morning,59,106.5,0.6,9.72,168.69,150.45,18.24,168.78,18.15
BANG068,Bangalore,Central,29-08-2025 03:21,Night,60,106.73,0.62,7.33,149.35,126.66,22.69,149.25,22.65
BANG069,Bangalore,West,29-08-2025 16:10,Afternoon,76,106.63,0.92,13.38,206.72,187.12,19.6,206.65,19.66
BANG070,Bangalore,South,29-08-2025 13:30,Afternoon,41,106.66,0.71,14.85,207.33,201.83,5.5,207.25,5.57
BANG071,Bangalore,South,28-08-2025 08:26,Morning,84,106.51,0.52,3.94,114.41,92.66,21.75,114.5,21.81
